seg_id2,STAID,HUC02,STATE,DRAIN_SQKM,LAT_GAGE,LNG_GAGE,STANAME
1000015,1030500,1,ME,3676.172,45.500975,-68.305956,Mattawamkeag River near Mattawamkeag ME
1000048,1013500,1,ME,2252.696,47.237394,-68.582642,Fish River near Fort Kent ME
1000241,1031500,1,ME,769.0482,45.175008,-69.314697,Piscataquis River near Dover-Foxcroft ME
1000331,1022500,1,ME,573.6006,44.607972,-67.935242,Narraguagus River at Cherryfield ME
1000399,1047000,1,ME,909.0972,44.8692,-69.955103,Carrabassett River near North Anson ME
1000466,1134500,1,VT,195.1299,44.511723,-71.837314,MOOSE RIVER AT VICTORY VT
1000481,1139000,1,VT,246.3333,44.150341,-72.065092,WELLS RIVER AT WELLS RIVER VT
1000505,1137500,1,NH,228.5543,44.268674,-71.630362,AMMONOOSUC RIVER AT BETHLEHEM JUNCTION NH
1000517,4296000,1,VT,302.1894,44.868936,-72.270104,BLACK RIVER AT COVENTRY VT
1000568,1073000,1,NH,31.2984,43.148696,-70.96506,OYSTER RIVER NEAR DURHAM NH
1000665,1142500,1,VT,82.16668,43.93451,-72.657882,AYERS BROOK AT RANDOLPH VT
1000674,1144000,1,VT,1790.244,43.714236,-72.418149,WHITE RIVER AT WEST HARTFORD VT
1000687,1181000,1,MA,243.495,42.237312,-72.895654,WEST BRANCH WESTFIELD RIVER AT HUNTINGTON MA
1000698,1187300,1,MA,53.919,42.037316,-72.938991,HUBBARD RIVER NR. WEST HARTLAND CT
1000703,1188000,1,CT,10.6235,41.786209,-72.964826,BURLINGTON BROOK NEAR BURLINGTON CT
1000840,1121000,1,CT,70.25372,41.843709,-72.168966,MOUNT HOPE RIVER NEAR WARRENVILLE CT
1000843,1123000,1,CT,77.85271,41.671765,-72.052298,LITTLE RIVER NEAR HANOVER CT
1000871,1055000,1,ME,250.641,44.642747,-70.588783,Swift River near Roxbury ME
1000881,1057000,1,ME,190.9188,44.303992,-70.539681,Little Androscoggin River near South Paris ME
1000945,1078000,1,NH,222.4566,43.566463,-71.747857,SMITH RIVER NEAR BRISTOL NH
1001135,1193500,1,CT,271.2563,41.552321,-72.449253,SALMON RIVER NEAR EAST HAMPTON CT
1001337,1162500,1,MA,49.70559,42.682586,-72.115081,PRIEST BROOK NEAR WINCHENDON MA
1001367,1169000,1,MA,230.6412,42.638418,-72.725092,NORTH RIVER AT SHATTUCKVILLE MA
1001392,1052500,1,NH,383.8234,44.877394,-71.057494,Diamond River near Wentworth Location NH
2000003,1413500,2,NY,424.1025,42.14481,-74.653489,EAST BR DELAWARE R AT MARGARETVILLE NY
2000006,1415000,2,NY,85.6287,42.120087,-74.818493,TREMPER KILL NEAR ANDES NY
2000007,1414500,2,NY,64.4517,42.106199,-74.730435,MILL BROOK NEAR DUNRAVEN NY
2000095,1539000,2,PA,701.7795,41.078141,-76.431056,Fishing Creek near Bloomsburg PA
2000122,1423000,2,NY,859.6809,42.166196,-75.139891,WEST BRANCH DELAWARE RIVER AT WALTON NY
2000184,1350000,2,NY,612.5148,42.319528,-74.436537,SCHOHARIE CREEK AT PRATTSVILLE NY
2000211,1435000,2,NY,172.458,41.890092,-74.589879,NEVERSINK RIVER NEAR CLARYVILLE NY
2000220,1440000,2,NJ,167.7204,41.106667,-74.952222,FLAT BROOK NEAR FLATBROOKVILLE NJ
2000233,1439500,2,PA,305.8776,41.088151,-75.037675,Bush Kill at Shoemakers PA
2000306,1532000,2,PA,553.941,41.70702,-76.484665,Towanda Creek near Monroeton PA
2000360,1466500,2,NJ,5.376711,39.885,-74.505278,MCDONALDS BRANCH IN LEBANON STATE FOREST NJ
2000425,1644000,2,VA,859.1698,39.019553,-77.577492,GOOSE CREEK NEAR LEESBURG VA
2000478,1658500,2,VA,19.34224,38.587343,-77.428596,S F QUANTICO CREEK NEAR INDEPENDENT HILL VA
2000645,1557500,2,PA,115.2963,40.683673,-78.233624,Bald Eagle Creek at Tyrone PA
2000703,1564500,2,PA,445.5612,40.212581,-77.925276,Aughwick Creek near Three Springs PA
2000747,1568000,2,PA,534.3948,40.323419,-77.16887,Sherman Creek at Shermans Dale PA
2000799,1580000,2,MD,244.3698,39.629972,-76.403306,DEER CREEK AT ROCKS MD
2000831,1493500,2,MD,33.02334,39.280028,-76.014556,MORGAN CREEK NEAR KENNEDYVILLE MD
2001010,1620500,2,VA,44.74026,38.337626,-79.240036,NORTH RIVER NEAR STOKESVILLE VA
2001062,1365000,2,NY,99.5688,41.866482,-74.4871,RONDOUT CREEK NEAR LOWES CORNERS NY
2001407,1543000,2,PA,705.4974,41.413396,-78.196952,Driftwood Br Sinnemahoning Cr at Sterling Run PA
2001410,1543500,2,PA,1778.258,41.317285,-78.10306,Sinnemahoning Creek at Sinnemahoning PA
2001417,1544500,2,PA,355.0644,41.475899,-77.825825,Kettle Creek at Cross Fork PA
2001455,1548500,2,PA,1557.047,41.521736,-77.44748,Pine Creek at Cedar Run PA
2001457,1549500,2,PA,97.4853,41.473683,-77.230809,Blockhouse Creek near English Center PA
2001469,1552500,2,PA,60.6384,41.357024,-76.534671,Muncy Creek near Sonestown PA
2001480,1552000,2,PA,1129.486,41.325078,-76.912464,Loyalsock Creek at Loyalsockville PA
2001488,1550000,2,PA,452.6757,41.41841,-77.032746,Lycoming Creek near Trout Run PA
2001526,1487000,2,DE,187.4102,38.728333,-75.561861,NANTICOKE RIVER NEAR BRIDGEVILLE DE
2001532,1485000,2,MD,137.9454,38.388889,-75.324444,POCOMOKE RIVER NEAR WILLARDS MD
2001534,1485500,2,MD,141.5394,38.228917,-75.471444,NASSAWANGO CREEK NEAR SNOW HILL MD
2001574,1606500,2,WV,1684.547,38.991221,-79.175871,SO. BRANCH POTOMAC RIVER NR PETERSBURG WV
2001598,1611500,2,WV,1748.488,39.582316,-78.309731,CACAPON RIVER NEAR GREAT CACAPON WV
2001620,1634500,2,VA,263.9817,39.081218,-78.329449,CEDAR CREEK NEAR WINCHESTER VA
2001628,1632000,2,VA,543.357,38.637063,-78.852803,N F SHENANDOAH RIVER AT COOTES STORE VA
2001674,1639500,2,MD,267.1785,39.612361,-77.237444,BIG PIPE CREEK AT BRUCEVILLE MD
2001705,1664000,2,VA,1605.101,38.53068,-77.813605,RAPPAHANNOCK RIVER AT REMINGTON VA
2001724,1667500,2,VA,1209.747,38.350408,-77.974997,RAPIDAN RIVER NEAR CULPEPER VA
2001729,1666500,2,VA,463.1463,38.32513,-78.095556,ROBINSON RIVER NEAR LOCUST DALE VA
2001734,1665500,2,VA,296.5932,38.280686,-78.340007,RAPIDAN RIVER NEAR RUCKERSVILLE VA
2001740,1669000,2,VA,71.84071,37.877082,-76.900521,PISCATAWAY CREEK NEAR TAPPAHANNOCK VA
2001846,2018000,2,VA,852.3431,37.665962,-79.911439,CRAIG CREEK AT PARR VA
2001851,2016000,2,VA,1194.551,37.791796,-79.759492,COWPASTURE RIVER NEAR CLIFTON FORGE VA
2001872,2013000,2,VA,424.7766,37.802902,-80.047004,DUNLAP CREEK NEAR COVINGTON VA
2001874,2017500,2,VA,276.1497,37.50624,-80.106715,JOHNS CREEK AT NEW CASTLE VA
2001906,2028500,2,VA,245.4534,37.869585,-78.823354,ROCKFISH RIVER NEAR GREENFIELD VA
2001907,2027000,2,VA,240.7671,37.715419,-78.981691,TYE RIVER NEAR LOVINGSTON VA
2001929,2027500,2,VA,123.3423,37.702363,-79.027525,PINEY RIVER AT PINEY RIVER VA
2002034,1491000,2,MD,292.0401,38.997194,-75.785806,CHOPTANK RIVER NEAR GREENSBORO MD
2002375,1583500,2,MD,155.8494,39.510778,-76.6765,WESTERN RUN AT WESTERN RUN MD
2002506,1596500,2,MD,124.6505,39.570056,-79.101944,SAVAGE RIVER NEAR BARTON MD
2002582,1333000,2,MA,112.1643,42.708969,-73.196773,GREEN RIVER AT WILLIAMSTOWN MA
3000212,2326000,3,FL,556.4121,30.170764,-83.823768,ECONFINA RIVER NEAR PERRY FL
3000218,2314500,3,GA,3322.154,30.680556,-82.560556,SUWANNEE RIVER AT US 441 AT FARGO GA
3000423,2361000,3,AL,1781.611,31.342949,-85.610491,CHOCTAWHATCHEE RIVER NEAR NEWTON AL
